"languages","type","languages_complexity123_11111","languages_complexity12_11111","languages_complexity1_11111","languages_complexity1234_11111","languages_complexity12345_11111","languages_complexity123456_11111","languages_complexity1234567_11111","languages_complexity12345678_11111","languages_complexity123456789_11111","languages_complexity12345678910_11111","languages_complexity12310_11111","languages_complexity1210_11111","languages_complexity110_11111","languages_complexity123410_11111","languages_complexity1234510_11111","languages_complexity12345610_11111","languages_complexity123456710_11111","languages_complexity1234567810_11111","languages_complexity12320_11111","languages_complexity1220_11111","languages_complexity120_11111","languages_complexity123420_11111","languages_complexity1234520_11111","languages_complexity12345620_11111","languages_complexity123456720_11111","languages_complexity1234567820_11111","languages_complexity12345678920_11111","languages_complexity1235_11111","languages_complexity125_11111","languages_complexity15_11111","languages_complexity123510_11111","languages_complexity12510_11111","languages_complexity1510_11111","languages_complexity123520_11111","languages_complexity12520_11111","languages_complexity1520_11111","languages_complexity12351020_11111","languages_complexity1251020_11111","languages_complexity151020_11111","languages_complexity1231020_11111","languages_complexity121020_11111","languages_complexity11020_11111","languages_complexity12341020_11111","languages_complexity123451020_11111","languages_complexity1234561020_11111","languages_complexity12345671020_11111","languages_complexity123456781020_11111","languages_complexity1234567891020_11111","distance"
"mnd","natural",1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.14787808976576,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.14787808976576,0.0158134364811582
"aco","natural",1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.14787808976576,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.14787808976576,0.0158134364811582
"alb","natural",1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.14787808976576,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.14787808976576,0.0158134364811582
"aeg","natural",1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.14787808976576,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.14787808976576,0.0158134364811582
"arc","natural",1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.14787808976576,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.14787808976576,0.0158134364811582
"arm","natural",1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.14787808976576,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.14787808976576,0.0158134364811582
"aym","natural",1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.14787808976576,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.14787808976576,0.0158134364811582
"bag","natural",1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.14787808976576,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.14787808976576,0.0158134364811582
"bas","natural",1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.14787808976576,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.14787808976576,0.0158134364811582
"bma","natural",1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.14787808976576,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.73652491870649,2.2045548094813,3.66582198942468,1.57816400282589,1.39851694017816,1.35228909672006,1.31660596548717,1.28794512045619,1.26422928931897,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.49253387979489,1.70395074712473,2.26864655250052,1.37618268024167,1.53522287140333,2.09991867677911,1.43947854333618,1.74372557228335,2.7155026699978,1.34546160371946,1.28216574062495,1.23593789716685,1.20025476593395,1.17159392090297,1.14787808976576,0.0158134364811582
