"languages","type","languages_complexity123_11111","languages_complexity12_11111","languages_complexity1_11111","languages_complexity1234_11111","languages_complexity12345_11111","languages_complexity123456_11111","languages_complexity1234567_11111","languages_complexity12345678_11111","languages_complexity123456789_11111","languages_complexity12345678910_11111","languages_complexity12310_11111","languages_complexity1210_11111","languages_complexity110_11111","languages_complexity123410_11111","languages_complexity1234510_11111","languages_complexity12345610_11111","languages_complexity123456710_11111","languages_complexity1234567810_11111","languages_complexity12320_11111","languages_complexity1220_11111","languages_complexity120_11111","languages_complexity123420_11111","languages_complexity1234520_11111","languages_complexity12345620_11111","languages_complexity123456720_11111","languages_complexity1234567820_11111","languages_complexity12345678920_11111","languages_complexity1235_11111","languages_complexity125_11111","languages_complexity15_11111","languages_complexity123510_11111","languages_complexity12510_11111","languages_complexity1510_11111","languages_complexity123520_11111","languages_complexity12520_11111","languages_complexity1520_11111","languages_complexity12351020_11111","languages_complexity1251020_11111","languages_complexity151020_11111","languages_complexity1231020_11111","languages_complexity121020_11111","languages_complexity11020_11111","languages_complexity12341020_11111","languages_complexity123451020_11111","languages_complexity1234561020_11111","languages_complexity12345671020_11111","languages_complexity123456781020_11111","languages_complexity1234567891020_11111","distance"
"mnd","natural",1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.14794830136241,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.14794830136241,0.0163915834411063
"aco","natural",1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.14794830136241,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.14794830136241,0.0163915834411063
"alb","natural",1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.14794830136241,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.14794830136241,0.0163915834411063
"aeg","natural",1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.14794830136241,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.14794830136241,0.0163915834411063
"arc","natural",1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.14794830136241,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.14794830136241,0.0163915834411063
"arm","natural",1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.14794830136241,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.14794830136241,0.0163915834411063
"aym","natural",1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.14794830136241,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.14794830136241,0.0163915834411063
"bag","natural",1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.14794830136241,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.14794830136241,0.0163915834411063
"bas","natural",1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.14794830136241,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.14794830136241,0.0163915834411063
"bma","natural",1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.14794830136241,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.73663113572401,2.20468965421304,3.66604621464269,1.57826053347266,1.39860248245674,1.35237181140681,1.31668649756442,1.28802389945207,1.2643066177023,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.49262517275334,1.7040549716967,2.26878531749492,1.37626685641345,1.5353167754947,2.10004712129291,1.43956659108949,1.74383222973909,2.71566876758245,1.34554390079289,1.28224416611685,1.23601349506692,1.20032818122453,1.17166558311218,1.14794830136241,0.0163915834411063
